"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"1250","90","GO Biological Process","","Positive regulation of transcription by RNA polymerase II","1.74E-70","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|ATF1|SMAD2|E2F3|MAPK3|EPAS1|STAT3|TP63|SRF|KAT6A|GATA6|TP53|REL|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|PGR|SP1|RARB|SMAD3|ATF4|MYB|FOXM1|E2F1|GATA2|NFYA|GABPA|WWP2|ETS2|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|HMGA1|CBFB|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46164|46113|46074|46029|46386|46305|46128|46368|46185|46278|46335|46005|46194|46272|46053|46317|46002|46218|46122|46038|46227|46182|46287|46215|46197|46332|46158|46020|46044|46134|46065|46212|46032|46089|46098|46302|46260|46263|46248|46116|46350|46299|46320|46341|46257|46242|46125|46362|46023|46290|46236|46077|46347|46221|46200|46119|46107|46311|46146|46152|46269|46203|46041|46071|46083|46230|46059|46374|46170|46104|46143|46140|46191|46377|46308|46233|46179|46056","1.11E-74","","GO:0045944","6.975945075171739","0"
"1285","85","GO Cellular Component","","Chromatin","3.69E-63","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|CSNK2A2|E2F3|EPAS1|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|FOXM1|E2F1|NFYA|GABPA|ETS2|POU2F1|NFKB2|JUN|RUNX2|NCOA3|ATRX|NR5A1|TFDP1|SP2|KLF5|GATA3|E2F4|SRY|ETS1|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|SATB1|HMGA1|HSF1|FLI1|HIF1A|HNF1A|SP7|MEF2A|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|ENC1|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46080|46074|46386|46305|46128|46368|46185|46155|46278|46335|46005|46047|46035|46194|46272|46053|46317|46002|46218|46038|46026|46227|46182|46287|46215|46197|46158|46020|46134|46065|46032|46089|46098|46302|46260|46263|46299|46320|46341|46224|46257|46125|46362|46023|46290|46347|46221|46266|46200|46119|46107|46311|46146|46188|46152|46203|46041|46071|46083|46059|46170|46143|46140|46191|46377|46308|46233|46179|46131|46056","1.8E-66","","GO:0000785","6.243297363384094","0"
"1931","95","GO Molecular Function","","Transcription regulator activity","8.69E-62","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|EPAS1|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|MYB|FOXM1|E2F1|GATA2|NFYA|GABPA|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|NCOA3|MTF1|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|URI1|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|SATB1|HMGA1|EWSR1|CBFB|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46074|46386|46305|46128|46368|46185|46155|46278|46335|46005|46047|46194|46272|46053|46317|46002|46218|46122|46038|46026|46227|46182|46287|46215|46197|46332|46158|46020|46044|46134|46065|46032|46344|46089|46098|46302|46260|46263|46116|46320|46341|46224|46110|46257|46242|46125|46362|46023|46092|46290|46236|46077|46347|46221|46266|46200|46119|46107|46311|46146|46188|46152|46062|46269|46203|46041|46071|46083|46230|46059|46170|46104|46143|46140|46191|46377|46308|46233|46179|46056","1.76E-65","","GO:0140110","6.106098022355133","0"
"1710","91","GO Biological Process","","Positive regulation of transcription, DNA-templated","1.07E-60","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|MAPK3|EPAS1|STAT3|TP63|SRF|KAT6A|GATA6|TP53|REL|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|PGR|SP1|RARB|SMAD3|ATF4|MYB|FOXM1|E2F1|GATA2|NFYA|GABPA|WWP2|ETS2|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|HMGA1|CBFB|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46074|46029|46386|46305|46128|46368|46185|46278|46335|46005|46194|46272|46053|46317|46002|46218|46122|46038|46227|46182|46287|46215|46197|46332|46158|46020|46044|46134|46065|46212|46032|46089|46098|46302|46260|46263|46248|46116|46350|46299|46320|46341|46257|46242|46125|46362|46023|46290|46236|46077|46347|46221|46200|46119|46107|46311|46146|46152|46269|46203|46041|46071|46083|46230|46059|46374|46170|46104|46143|46140|46191|46377|46308|46233|46179|46056","1.36E-64","","GO:0045893","5.997061622231479","0"
"1218","81","GO Molecular Function","","Cis-regulatory region sequence-specific DNA binding","2.52E-59","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|RARA|ATF1|SMAD2|E2F3|EPAS1|STAT3|TP63|SRF|JDP2|GATA6|TP53|REL|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|MYB|E2F1|GATA2|NFYA|GABPA|ETS2|POU2F1|NFKB2|JUN|RUNX2|MTF1|NR5A1|TFDP1|SP2|KLF5|WT1|GATA3|E2F4|SRY|ETS1|NR2F2|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|SATB1|HMGA1|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|MEF2A|CEBPG|NR1H3|MYC|NR4A3|PITX2|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46323|46164|46113|46074|46386|46305|46128|46368|46155|46278|46335|46005|46047|46194|46272|46053|46317|46002|46218|46122|46038|46026|46227|46182|46287|46215|46197|46332|46020|46044|46134|46065|46032|46089|46098|46302|46260|46116|46320|46341|46224|46257|46242|46125|46362|46023|46290|46077|46347|46221|46200|46119|46107|46311|46146|46188|46152|46203|46041|46071|46083|46230|46059|46170|46143|46140|46191|46377|46308|46179|46056","1.02E-62","","GO:0000987","5.859859945921846","0"
"1196","80","GO Molecular Function","","RNA polymerase II cis-regulatory region sequence-specific DNA binding","1.01E-58","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|RARA|ATF1|SMAD2|E2F3|EPAS1|STAT3|TP63|SRF|JDP2|GATA6|TP53|REL|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|MYB|E2F1|GATA2|NFYA|GABPA|ETS2|POU2F1|NFKB2|JUN|RUNX2|MTF1|NR5A1|SP2|KLF5|WT1|GATA3|E2F4|SRY|ETS1|NR2F2|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|SATB1|HMGA1|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|MEF2A|CEBPG|NR1H3|MYC|NR4A3|PITX2|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46323|46164|46113|46074|46386|46305|46128|46368|46155|46278|46335|46005|46047|46194|46272|46053|46317|46002|46218|46122|46038|46026|46227|46182|46287|46215|46197|46332|46020|46044|46134|46065|46032|46089|46098|46302|46260|46116|46320|46224|46257|46242|46125|46362|46023|46290|46077|46347|46221|46200|46119|46107|46311|46146|46188|46152|46203|46041|46071|46083|46230|46059|46170|46143|46140|46191|46377|46308|46179|46056","6.12E-62","","GO:0000978","5.7995678626217355","0"
"2586","101","GO Biological Process","","Regulation of transcription by RNA polymerase II","1.77E-58","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|MAPK3|EPAS1|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|GABPA|WWP2|ETS2|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|SP2|KLF5|WT1|GATA3|E2F4|SRY|URI1|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|SATB1|HMGA1|CBFB|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46074|46029|46386|46305|46128|46368|46185|46155|46278|46335|46005|46047|46035|46194|46272|46053|46317|46002|46218|46122|46038|46026|46227|46182|46287|46215|46197|46332|46275|46158|46020|46044|46134|46065|46212|46032|46089|46098|46302|46260|46263|46248|46116|46350|46299|46320|46341|46224|46257|46242|46125|46362|46023|46092|46290|46236|46077|46347|46221|46266|46200|46119|46107|46311|46146|46353|46188|46152|46269|46203|46041|46071|46083|46230|46059|46374|46170|46104|46143|46140|46191|46377|46308|46233|46179|46056","5.63E-62","","GO:0006357","5.77520267336382","0"
"1935","92","GO Biological Process","","Positive regulation of macromolecule biosynthetic process","5.28E-58","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|MAPK3|EPAS1|STAT3|TP63|SRF|KAT6A|GATA6|TP53|REL|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|PGR|SP1|RARB|SMAD3|ATF4|MYB|FOXM1|E2F1|GATA2|NFYA|GABPA|WWP2|ETS2|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|HMGA1|CBFB|UHMK1|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46074|46029|46386|46305|46128|46368|46185|46278|46335|46005|46194|46272|46053|46317|46002|46218|46122|46038|46227|46182|46287|46215|46197|46332|46158|46020|46044|46134|46065|46212|46032|46089|46098|46302|46260|46263|46248|46116|46350|46299|46320|46341|46257|46242|46125|46362|46023|46290|46236|46077|46347|46221|46200|46119|46107|46311|46146|46152|46269|46383|46203|46041|46071|46083|46230|46059|46374|46170|46104|46143|46140|46191|46377|46308|46233|46179|46056","2.36E-61","","GO:0010557","5.727736607746619","0"
"2041","93","GO Biological Process","","Positive regulation of cellular biosynthetic process","2.2E-57","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|MAPK3|EPAS1|STAT3|TP63|SRF|KAT6A|GATA6|TP53|REL|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|PGR|SP1|PRKCD|RARB|SMAD3|ATF4|MYB|FOXM1|E2F1|GATA2|NFYA|GABPA|WWP2|ETS2|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|HMGA1|CBFB|UHMK1|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46074|46029|46386|46305|46128|46368|46185|46278|46335|46005|46194|46272|46053|46317|46002|46218|46122|46038|46227|46182|46008|46287|46215|46197|46332|46158|46020|46044|46134|46065|46212|46032|46089|46098|46302|46260|46263|46248|46116|46350|46299|46320|46341|46257|46242|46125|46362|46023|46290|46236|46077|46347|46221|46200|46119|46107|46311|46146|46152|46269|46383|46203|46041|46071|46083|46230|46059|46374|46170|46104|46143|46140|46191|46377|46308|46233|46179|46056","1.12E-60","","GO:0031328","5.66575773191778","0"
"1368","82","GO Molecular Function","","DNA-binding transcription factor activity, RNA polymerase II-specific","3.66E-57","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|RARA|ATF1|SMAD2|E2F3|EPAS1|STAT3|TP63|SRF|JDP2|GATA6|TP53|REL|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|PGR|SP1|RARB|SMAD3|ATF4|MYB|FOXM1|E2F1|GATA2|NFYA|GABPA|ETS2|POU2F1|NFKB2|JUN|RUNX2|MTF1|NR5A1|TFDP1|SP2|KLF5|WT1|GATA3|E2F4|SRY|ETS1|NR2F2|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|SATB1|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46323|46164|46113|46074|46386|46305|46128|46368|46155|46278|46335|46005|46047|46194|46272|46053|46317|46002|46218|46122|46038|46227|46182|46287|46215|46197|46332|46158|46020|46044|46134|46065|46032|46089|46098|46302|46260|46116|46320|46341|46224|46257|46242|46125|46362|46023|46290|46077|46347|46221|46266|46200|46119|46107|46311|46146|46188|46203|46041|46071|46083|46230|46059|46170|46104|46143|46140|46191|46377|46308|46179|46056","2.97E-60","","GO:0000981","5.643651891460559","0"
"1564","85","GO Molecular Function","","Sequence-specific double-stranded DNA binding","9.94E-57","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|RARA|ATF1|SMAD2|E2F3|EPAS1|STAT3|TP63|SRF|JDP2|GATA6|TP53|REL|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|MYB|FOXM1|E2F1|GATA2|NFYA|GABPA|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|YBX1|MTF1|NR5A1|TFDP1|SP2|KLF5|WT1|GATA3|E2F4|SRY|ETS1|NR2F2|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|SATB1|HMGA1|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|MEF2A|CEBPG|NR1H3|MYC|NR4A3|PITX2|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46323|46164|46113|46074|46386|46305|46128|46368|46155|46278|46335|46005|46047|46194|46272|46053|46317|46002|46218|46122|46038|46026|46227|46182|46287|46215|46197|46332|46158|46020|46044|46134|46065|46032|46344|46089|46098|46302|46260|46248|46116|46320|46341|46224|46257|46242|46125|46362|46023|46290|46077|46347|46221|46266|46200|46119|46107|46311|46146|46188|46152|46203|46041|46071|46083|46230|46059|46170|46143|46140|46191|46377|46308|46179|46056","1.01E-59","","GO:1990837","5.6002613615602685","0"
"1409","82","GO Molecular Function","","RNA polymerase II transcription regulatory region sequence-specific DNA binding","2.31E-56","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|RARA|ATF1|SMAD2|E2F3|EPAS1|STAT3|TP63|SRF|JDP2|GATA6|TP53|REL|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|MYB|FOXM1|E2F1|GATA2|NFYA|GABPA|ETS2|POU2F1|NFKB2|JUN|RUNX2|MTF1|NR5A1|SP2|KLF5|WT1|GATA3|E2F4|SRY|ETS1|NR2F2|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|SATB1|HMGA1|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|MEF2A|CEBPG|NR1H3|MYC|NR4A3|PITX2|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46323|46164|46113|46074|46386|46305|46128|46368|46155|46278|46335|46005|46047|46194|46272|46053|46317|46002|46218|46122|46038|46026|46227|46182|46287|46215|46197|46332|46158|46020|46044|46134|46065|46032|46089|46098|46302|46260|46116|46320|46224|46257|46242|46125|46362|46023|46290|46077|46347|46221|46266|46200|46119|46107|46311|46146|46188|46152|46203|46041|46071|46083|46230|46059|46170|46143|46140|46191|46377|46308|46179|46056","2.81E-59","","GO:0000977","5.563638802010786","0"
"1666","86","GO Molecular Function","","Sequence-specific DNA binding","4.58E-56","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|RARA|ATF1|SMAD2|E2F3|EPAS1|STAT3|TP63|SRF|JDP2|GATA6|TP53|REL|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|MYB|FOXM1|E2F1|GATA2|NFYA|GABPA|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|YBX1|MTF1|NR5A1|TFDP1|SP2|KLF5|WT1|GATA3|E2F4|SRY|ETS1|NR2F2|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|SATB1|HMGA1|CBFB|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|MEF2A|CEBPG|NR1H3|MYC|NR4A3|PITX2|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46323|46164|46113|46074|46386|46305|46128|46368|46155|46278|46335|46005|46047|46194|46272|46053|46317|46002|46218|46122|46038|46026|46227|46182|46287|46215|46197|46332|46158|46020|46044|46134|46065|46032|46344|46089|46098|46302|46260|46248|46116|46320|46341|46224|46257|46242|46125|46362|46023|46290|46077|46347|46221|46266|46200|46119|46107|46311|46146|46188|46152|46269|46203|46041|46071|46083|46230|46059|46170|46143|46140|46191|46377|46308|46179|46056","7.43E-59","","GO:0043565","5.533913452199613","0"
"2056","92","GO Biological Process","","Positive regulation of nucleobase-containing compound metabolic process","6.69E-56","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|MAPK3|EPAS1|STAT3|TP63|SRF|KAT6A|GATA6|TP53|REL|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|PGR|SP1|PRKCD|RARB|SMAD3|ATF4|MYB|FOXM1|E2F1|GATA2|NFYA|GABPA|WWP2|ETS2|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|HMGA1|CBFB|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46074|46029|46386|46305|46128|46368|46185|46278|46335|46005|46194|46272|46053|46317|46002|46218|46122|46038|46227|46182|46008|46287|46215|46197|46332|46158|46020|46044|46134|46065|46212|46032|46089|46098|46302|46260|46263|46248|46116|46350|46299|46320|46341|46257|46242|46125|46362|46023|46290|46236|46077|46347|46221|46200|46119|46107|46311|46146|46152|46269|46203|46041|46071|46083|46230|46059|46374|46170|46104|46143|46140|46191|46377|46308|46233|46179|46056","4.27E-59","","GO:0045935","5.517457388223217","0"
"1506","83","GO Molecular Function","","Transcription cis-regulatory region binding","1.22E-55","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|RARA|ATF1|SMAD2|E2F3|EPAS1|STAT3|TP63|SRF|JDP2|GATA6|TP53|REL|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|MYB|FOXM1|E2F1|GATA2|NFYA|GABPA|ETS2|POU2F1|NFKB2|JUN|RUNX2|MTF1|NR5A1|TFDP1|SP2|KLF5|WT1|GATA3|E2F4|SRY|ETS1|NR2F2|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|SATB1|HMGA1|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|MEF2A|CEBPG|NR1H3|MYC|NR4A3|PITX2|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46323|46164|46113|46074|46386|46305|46128|46368|46155|46278|46335|46005|46047|46194|46272|46053|46317|46002|46218|46122|46038|46026|46227|46182|46287|46215|46197|46332|46158|46020|46044|46134|46065|46032|46089|46098|46302|46260|46116|46320|46341|46224|46257|46242|46125|46362|46023|46290|46077|46347|46221|46266|46200|46119|46107|46311|46146|46188|46152|46203|46041|46071|46083|46230|46059|46170|46143|46140|46191|46377|46308|46179|46056","2.22E-58","","GO:0000976","5.4913640169325255","0"
"3460","107","GO Biological Process","","Regulation of transcription, DNA-templated","1.85E-54","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|MAPK3|PPM1F|EPAS1|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|GABPA|WWP2|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|URI1|ETS1|POU2AF1|NR2F2|MAPK8|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|SATB1|HMGA1|EWSR1|CBFB|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46074|46029|46365|46386|46305|46128|46368|46185|46155|46278|46335|46005|46047|46035|46194|46272|46053|46317|46002|46218|46122|46038|46026|46227|46182|46287|46215|46197|46332|46275|46158|46020|46044|46134|46065|46212|46032|46344|46089|46098|46302|46260|46263|46248|46116|46350|46299|46320|46341|46224|46110|46257|46242|46125|46362|46023|46092|46290|46236|46077|46284|46347|46221|46266|46200|46119|46107|46311|46146|46353|46188|46152|46062|46269|46203|46041|46071|46083|46230|46059|46374|46170|46104|46143|46326|46140|46191|46377|46308|46233|46179|46056","1.3E-57","","GO:0006355","5.373282827159699","0"
"3166","104","GO Biological Process","","Positive regulation of nitrogen compound metabolic process","2.04E-54","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|E2F3|MAPK3|PPM1F|EPAS1|STAT3|TP63|CASP6|SRF|KAT6A|JDP2|GATA6|TP53|REL|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|GSK3B|PGR|SP1|PRKCD|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|DUSP19|GABPA|WWP2|ETS2|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|MAPK8|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|TNIK|HMGA1|CBFB|UHMK1|HSF1|FLI1|LATS1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46074|46029|46365|46386|46305|46128|46167|46368|46185|46155|46278|46335|46005|46035|46194|46272|46053|46317|46002|46218|46122|46038|46026|46338|46227|46182|46008|46287|46215|46197|46332|46275|46158|46020|46044|46134|46293|46065|46212|46032|46089|46098|46302|46260|46263|46248|46116|46350|46299|46320|46341|46257|46242|46125|46362|46023|46290|46236|46077|46284|46347|46221|46200|46119|46107|46311|46146|46209|46152|46269|46383|46203|46041|45999|46071|46083|46230|46059|46374|46170|46104|46143|46140|46191|46377|46308|46233|46179|46056","1.69E-57","","GO:0051173","5.36903698325741","0"
